allocator,allocator_label,offset,date,realised_beta_252d
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-08,0.19824375036660016
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-09,0.20031036070086886
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-10,0.20152064595581093
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-13,0.1995398630419505
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-14,0.1982831653656764
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-15,0.19832522893081853
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-16,0.1963723794958267
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-17,0.19456684743927072
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-20,0.19335274802547164
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-21,0.19473496302828586
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-22,0.19372002403279612
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-23,0.19301502204870716
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-24,0.19122190323897648
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-27,0.19243085449571462
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-28,0.19367772844664544
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-29,0.19437892374800983
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-30,0.195417481921041
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-31,0.19162778940187114
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-03,0.19221320107940218
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-04,0.18914760523911994
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-05,0.18911406573735617
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-06,0.19032075282481076
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-07,0.1908352090831728
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-10,0.18956181662609584
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-11,0.18712609945377548
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-12,0.1867647554478101
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-13,0.18469603749685096
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-14,0.15889145688484757
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-17,0.15539685983927937
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-18,0.15975506639433384
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-19,0.16077597780228367
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-20,0.16042270361059968
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-24,0.16137087668044614
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-25,0.16639223559813024
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-26,0.1630887946331467
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-27,0.16337528793378722
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-04-28,0.1629058870216109
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-01,0.16171424312479932
